AoA,Cl_XFOIL,Cl_NF,Cl_Corr,Cd_XFOIL,Cd_NF,Cd_Corr,Cm_XFOIL,Cm_NF,Cm_Corr,err_Cl_before,err_Cl_after
-5.0,0.1678,0.15997,0.16679730047978927,0.0096,0.0096,0.009550864678304924,-0.1818,-0.18022,-0.1813100713007975,-0.007830000000000004,-0.0010026995202107314
-4.915,0.1774,0.16975,0.17644245242062156,0.00948,0.00953,0.009480864678304925,-0.1819,-0.18025,-0.1813400713007975,-0.00764999999999999,-0.0009575475793784372
-4.829,0.187,0.17951,0.18620245242062156,0.00938,0.00946,0.0094126104020651,-0.1819,-0.18028,-0.1813797074183783,-0.007489999999999997,-0.0007975475793784437
-4.744,0.1967,0.18927,0.19596245242062155,0.00928,0.0094,0.009313957614548854,-0.1819,-0.18031,-0.1814152146937054,-0.00743000000000002,-0.0007375475793784669
-4.573,0.216,0.20872,0.21541569639570407,0.00911,0.00927,0.009102233000362081,-0.182,-0.18034,-0.18148380160188876,-0.007280000000000009,-0.0005843036042959271
-4.487,0.2257,0.21842,0.22505970862392208,0.00902,0.00922,0.009026567084771066,-0.182,-0.18035,-0.18151453170227308,-0.007280000000000009,-0.0006402913760779338
-4.402,0.2353,0.22808,0.2347323677453544,0.00895,0.00916,0.008965214554183634,-0.1821,-0.18036,-0.18153132133329078,-0.007220000000000004,-0.0005676322546456225
-4.317,0.245,0.23772,0.2443201517282709,0.00887,0.00911,0.008907033369413495,-0.1821,-0.18036,-0.18154105281162145,-0.007280000000000009,-0.0006798482717290943
-4.231,0.2546,0.24733,0.2539582651446983,0.00879,0.00906,0.008841620712051967,-0.1821,-0.18035,-0.1815602173533405,-0.007269999999999999,-0.0006417348553016677
-4.146,0.2643,0.25691,0.2634314629714339,0.00872,0.00901,0.008792746948424954,-0.1822,-0.18034,-0.18155501879795655,-0.007389999999999952,-0.0008685370285660965
-4.06,0.2739,0.26645,0.27299727113770744,0.00867,0.00896,0.008732576639981742,-0.1822,-0.18032,-0.18152957844456727,-0.007449999999999957,-0.0009027288622925345
-3.975,0.2836,0.27596,0.28249102387813335,0.00861,0.00891,0.008679270450928344,-0.1822,-0.1803,-0.18153796225110844,-0.007640000000000036,-0.0011089761218666672
-3.889,0.2931,0.28545,0.29196632536848993,0.00853,0.00887,0.008620026239005674,-0.1822,-0.18028,-0.181541879853967,-0.007650000000000046,-0.0011336746315100954
-3.804,0.3027,0.2949,0.3014314584761596,0.00847,0.00883,0.008549397045372595,-0.1822,-0.18025,-0.18151768599965123,-0.007800000000000029,-0.0012685415238404274
-3.719,0.3122,0.30433,0.31088431664376837,0.00843,0.00879,0.008499272869291887,-0.1822,-0.18021,-0.18152028024134242,-0.007869999999999988,-0.0013156833562316117
-3.633,0.3216,0.31374,0.3203589058493852,0.00839,0.00875,0.008454588728574334,-0.1821,-0.18017,-0.18149089255922088,-0.007859999999999978,-0.0012410941506147966
-3.548,0.3309,0.32313,0.32977908997132055,0.00834,0.00872,0.00842491452697497,-0.182,-0.18013,-0.18146109196094592,-0.007770000000000055,-0.0011209100286794782
-3.462,0.3401,0.33249,0.3391656906745426,0.00831,0.00869,0.008381694261048546,-0.1819,-0.18008,-0.18148079672537581,-0.007610000000000006,-0.0009343093254574053
-3.377,0.349,0.34183,0.348462515004039,0.00831,0.00866,0.008330913420995725,-0.1818,-0.18002,-0.1814491052258996,-0.007169999999999954,-0.0005374849959609573
-3.292,0.3577,0.3510416279069768,0.3575934979274703,0.00831,0.008630348837209303,0.008298868406550176,-0.1816,-0.1799606976744186,-0.18151161200760346,-0.006658372093023224,-0.00010650207252971278
-3.206,0.366,0.36044,0.3666475885099281,0.00835,0.00861,0.008279821377496036,-0.1813,-0.17989,-0.18145635945248723,-0.005560000000000009,0.000647588509928132
-3.121,0.3745,0.36971,0.3753534066510742,0.00841,0.00859,0.008260768231046099,-0.1811,-0.17981,-0.181462252064853,-0.0047900000000000165,0.0008534066510741956
-3.035,0.3829,0.37896,0.3846973225909971,0.00844,0.00857,0.008238046849773976,-0.1809,-0.17973,-0.18137547286468977,-0.003939999999999999,0.0017973225909970747
-2.95,0.3915,0.38818,0.39396422541453346,0.00849,0.00856,0.008208572661976665,-0.1807,-0.17963,-0.18129691073819862,-0.0033199999999999896,0.0024642254145334497
-2.864,0.4002,0.39738,0.40322428058991,0.00853,0.00855,0.008194941453339426,-0.1805,-0.17953,-0.1812818003683947,-0.002819999999999989,0.00302428058991
-2.779,0.409,0.40655,0.4124267222640083,0.00856,0.00855,0.008203527747131303,-0.1803,-0.17942,-0.18114768888571545,-0.002449999999999952,0.0034267222640083084
-2.693,0.418,0.41569,0.42163260756217746,0.00859,0.00855,0.008189375489240957,-0.1802,-0.17931,-0.18103431915425988,-0.0023099999999999787,0.003632607562177481
-2.608,0.427,0.42481,0.4301724566478656,0.00861,0.00855,0.00818759911999762,-0.1801,-0.17918,-0.1808843091277526,-0.0021899999999999697,0.0031724566478655847
