==============================================================
 NeuralFoil vs XFOIL Comparison Report
==============================================================


=== NeuralFoil vs XFOIL Error Summary ===
Mean |ΔCl| = 0.0058
Mean |ΔCd| = 0.00030
Mean |ΔCm| = 0.0021
RMS % Error Cl = 68.77%
RMS % Error Cd = 5.98%
RMS % Error Cm = 423.66%

AoA(deg)     Cl_XFOIL   Cl_NF   ΔCl     Cd_XFOIL   Cd_NF   ΔCd     Cm_XFOIL   Cm_NF   ΔCm
--------------------------------------------------------------------------------------
  -5.000   -0.39930   -0.39131   0.00799    0.00750    0.00729  -0.00021   -0.01510   -0.01676   -0.00166
  -4.829   -0.38030   -0.37222   0.00808    0.00744    0.00724  -0.00020   -0.01490   -0.01668   -0.00178
  -4.744   -0.37070   -0.36267   0.00803    0.00740    0.00722  -0.00018   -0.01490   -0.01663   -0.00173
  -4.658   -0.36110   -0.35313   0.00797    0.00737    0.00719  -0.00018   -0.01480   -0.01659   -0.00179
  -4.573   -0.35160   -0.34359   0.00801    0.00734    0.00716  -0.00018   -0.01480   -0.01654   -0.00174
  -4.487   -0.34200   -0.33407   0.00793    0.00733    0.00714  -0.00019   -0.01470   -0.01650   -0.00180
  -4.402   -0.33250   -0.32455   0.00795    0.00729    0.00711  -0.00018   -0.01460   -0.01645   -0.00185
  -4.317   -0.32300   -0.31504   0.00796    0.00725    0.00709  -0.00016   -0.01460   -0.01639   -0.00179
  -4.231   -0.31350   -0.30555   0.00795    0.00722    0.00706  -0.00016   -0.01450   -0.01634   -0.00184
  -4.146   -0.30390   -0.29607   0.00783    0.00719    0.00703  -0.00016   -0.01440   -0.01627   -0.00187
  -4.060   -0.29420   -0.28660   0.00760    0.00717    0.00700  -0.00017   -0.01440   -0.01621   -0.00181
  -3.975   -0.28480   -0.27715   0.00765    0.00714    0.00697  -0.00017   -0.01430   -0.01614   -0.00184
  -3.889   -0.27540   -0.26770   0.00770    0.00710    0.00695  -0.00015   -0.01420   -0.01607   -0.00187
  -3.804   -0.26570   -0.25826   0.00744    0.00706    0.00692  -0.00014   -0.01420   -0.01599   -0.00179
  -3.719   -0.25610   -0.24883   0.00727    0.00704    0.00689  -0.00015   -0.01420   -0.01591   -0.00171
  -3.633   -0.24650   -0.23940   0.00710    0.00702    0.00686  -0.00016   -0.01410   -0.01584   -0.00174
  -3.548   -0.23700   -0.22997   0.00703    0.00697    0.00683  -0.00014   -0.01400   -0.01576   -0.00176
  -3.462   -0.22750   -0.22053   0.00697    0.00694    0.00680  -0.00014   -0.01400   -0.01568   -0.00168
  -3.377   -0.21800   -0.21109   0.00691    0.00691    0.00677  -0.00014   -0.01390   -0.01560   -0.00170
  -3.292   -0.20840   -0.20174   0.00666    0.00688    0.00674  -0.00014   -0.01380   -0.01553   -0.00173
