AoA,n_samples,method
-5.0,883,RidgeCV
-4.915,876,RidgeCV
-4.829,892,RidgeCV
-4.744,880,RidgeCV
-4.658,888,RidgeCV
-4.573,884,RidgeCV
-4.487,873,RidgeCV
-4.402,878,RidgeCV
-4.317,883,RidgeCV
-4.231,877,RidgeCV
-4.146,883,RidgeCV
-4.06,871,RidgeCV
-3.975,871,RidgeCV
-3.889,893,RidgeCV
-3.804,884,RidgeCV
-3.719,883,RidgeCV
-3.633,868,RidgeCV
-3.548,883,RidgeCV
-3.462,875,RidgeCV
-3.377,888,RidgeCV
-3.292,870,RidgeCV
-3.206,885,RidgeCV
-3.121,871,RidgeCV
-3.035,868,RidgeCV
-2.95,880,RidgeCV
-2.864,873,RidgeCV
-2.779,884,RidgeCV
-2.693,873,RidgeCV
-2.608,894,RidgeCV
-2.523,873,RidgeCV
-2.437,886,RidgeCV
-2.352,881,RidgeCV
-2.266,873,RidgeCV
-2.181,867,RidgeCV
-2.095,880,RidgeCV
-2.01,887,RidgeCV
-1.925,885,RidgeCV
-1.839,884,RidgeCV
-1.754,881,RidgeCV
-1.668,876,RidgeCV
-1.583,867,RidgeCV
-1.498,880,RidgeCV
-1.412,876,RidgeCV
-1.327,880,RidgeCV
-1.241,871,RidgeCV
-1.156,882,RidgeCV
-1.07,880,RidgeCV
-0.985,865,RidgeCV
-0.899,875,RidgeCV
-0.814,876,RidgeCV
-0.729,872,RidgeCV
-0.643,869,RidgeCV
-0.558,874,RidgeCV
-0.472,872,RidgeCV
-0.387,870,RidgeCV
-0.301,875,RidgeCV
-0.216,881,RidgeCV
-0.131,890,RidgeCV
-0.045,875,RidgeCV
0.04,884,RidgeCV
0.126,870,RidgeCV
0.211,878,RidgeCV
0.296,881,RidgeCV
0.382,881,RidgeCV
0.467,893,RidgeCV
0.553,890,RidgeCV
0.638,876,RidgeCV
0.724,877,RidgeCV
0.809,881,RidgeCV
0.894,876,RidgeCV
0.98,874,RidgeCV
1.065,886,RidgeCV
1.151,886,RidgeCV
1.236,886,RidgeCV
1.322,876,RidgeCV
1.407,879,RidgeCV
1.492,889,RidgeCV
1.578,882,RidgeCV
1.663,881,RidgeCV
1.749,887,RidgeCV
1.834,879,RidgeCV
1.92,887,RidgeCV
2.005,898,RidgeCV
2.091,881,RidgeCV
2.176,882,RidgeCV
2.261,890,RidgeCV
2.347,880,RidgeCV
2.432,894,RidgeCV
2.518,889,RidgeCV
2.603,884,RidgeCV
2.688,889,RidgeCV
2.774,879,RidgeCV
2.859,877,RidgeCV
2.945,889,RidgeCV
3.03,879,RidgeCV
3.116,883,RidgeCV
3.201,887,RidgeCV
3.286,895,RidgeCV
3.372,881,RidgeCV
3.457,882,RidgeCV
3.543,883,RidgeCV
3.628,889,RidgeCV
3.714,884,RidgeCV
3.799,884,RidgeCV
3.884,886,RidgeCV
3.97,883,RidgeCV
4.055,894,RidgeCV
4.141,881,RidgeCV
4.226,884,RidgeCV
4.312,878,RidgeCV
4.397,880,RidgeCV
4.482,880,RidgeCV
4.568,883,RidgeCV
4.653,889,RidgeCV
4.739,891,RidgeCV
4.824,883,RidgeCV
4.91,901,RidgeCV
4.995,881,RidgeCV
5.08,882,RidgeCV
5.166,886,RidgeCV
5.251,887,RidgeCV
5.337,889,RidgeCV
5.422,886,RidgeCV
5.508,882,RidgeCV
5.593,893,RidgeCV
5.678,885,RidgeCV
5.764,892,RidgeCV
5.849,895,RidgeCV
5.935,893,RidgeCV
6.02,893,RidgeCV
6.106,898,RidgeCV
6.191,888,RidgeCV
6.276,888,RidgeCV
6.362,893,RidgeCV
6.447,894,RidgeCV
6.533,892,RidgeCV
6.618,893,RidgeCV
6.704,891,RidgeCV
6.789,886,RidgeCV
6.874,900,RidgeCV
6.96,892,RidgeCV
7.045,887,RidgeCV
7.131,898,RidgeCV
7.216,896,RidgeCV
7.301,895,RidgeCV
7.387,890,RidgeCV
7.472,889,RidgeCV
7.558,897,RidgeCV
7.643,889,RidgeCV
7.729,901,RidgeCV
7.814,893,RidgeCV
7.899,900,RidgeCV
7.985,891,RidgeCV
8.07,900,RidgeCV
8.156,893,RidgeCV
8.241,892,RidgeCV
8.327,893,RidgeCV
8.412,892,RidgeCV
8.498,905,RidgeCV
8.583,890,RidgeCV
8.668,890,RidgeCV
8.754,894,RidgeCV
8.839,897,RidgeCV
8.925,897,RidgeCV
9.01,892,RidgeCV
9.095,890,RidgeCV
9.181,898,RidgeCV
9.266,893,RidgeCV
9.352,894,RidgeCV
9.437,895,RidgeCV
9.523,899,RidgeCV
9.608,901,RidgeCV
9.694,898,RidgeCV
9.779,890,RidgeCV
9.864,893,RidgeCV
9.95,897,RidgeCV
10.035,897,RidgeCV
10.121,900,RidgeCV
10.206,904,RidgeCV
10.291,900,RidgeCV
10.377,899,RidgeCV
10.462,895,RidgeCV
10.548,898,RidgeCV
10.633,898,RidgeCV
10.719,896,RidgeCV
10.804,901,RidgeCV
10.889,904,RidgeCV
10.975,901,RidgeCV
11.06,901,RidgeCV
11.146,898,RidgeCV
11.231,899,RidgeCV
11.317,898,RidgeCV
11.402,899,RidgeCV
11.487,894,RidgeCV
11.573,900,RidgeCV
11.658,897,RidgeCV
11.744,895,RidgeCV
11.829,897,RidgeCV
11.915,902,RidgeCV
12.0,904,RidgeCV
