#      x          Cp  
     1.00000    0.07277
     0.99144    0.06550
     0.97971    0.05307
     0.96604    0.04054
     0.95080    0.02840
     0.93452    0.01722
     0.91764    0.00683
     0.90050   -0.00260
     0.88332   -0.01055
     0.86629   -0.01751
     0.84949   -0.02542
     0.83286   -0.03612
     0.81630   -0.04999
     0.79975   -0.06638
     0.78323   -0.08531
     0.76676   -0.10835
     0.75028   -0.13777
     0.73376   -0.17454
     0.71743   -0.21620
     0.70149   -0.25729
     0.68589   -0.29226
     0.67047   -0.31735
     0.65504   -0.33135
     0.63945   -0.33587
     0.62371   -0.33426
     0.60795   -0.33046
     0.59258   -0.32606
     0.57816   -0.32860
     0.56519   -0.30841
     0.55335   -0.37029
     0.54094   -0.33850
     0.52683   -0.32201
     0.51124   -0.30737
     0.49466   -0.29685
     0.47757   -0.28933
     0.46024   -0.28463
     0.44279   -0.28185
     0.42534   -0.27978
     0.40801   -0.27781
     0.39087   -0.27714
     0.37392   -0.28387
     0.35712   -0.31368
     0.34037   -0.39302
     0.32357   -0.54875
     0.30691   -0.72952
     0.29064   -0.73914
     0.27471   -0.74669
     0.25885   -0.75284
     0.24277   -0.75817
     0.22646   -0.76337
     0.21034   -0.76933
     0.19466   -0.77722
     0.17941   -0.78865
     0.16458   -0.80597
     0.15017   -0.83237
     0.13618   -0.87015
     0.12263   -0.91904
     0.10955   -0.97618
     0.09706   -1.03520
     0.08533   -1.09277
     0.07454   -1.14568
     0.06476   -1.18855
     0.05601   -1.21591
     0.04825   -1.22665
     0.04141   -1.22316
     0.03541   -1.21117
     0.03015   -1.19480
     0.02554   -1.17582
     0.02149   -1.15401
     0.01794   -1.12743
     0.01480   -1.09350
     0.01205   -1.04820
     0.00962   -0.98821
     0.00749   -0.90753
     0.00565   -0.80145
     0.00408   -0.66490
     0.00276   -0.49217
     0.00171   -0.28608
     0.00091   -0.05307
     0.00037    0.19256
     0.00007    0.42479
     0.00000    0.63145
     0.00017    0.80066
     0.00058    0.92170
     0.00127    0.98598
     0.00224    0.99888
     0.00349    0.97115
     0.00502    0.91740
     0.00683    0.84853
     0.00895    0.77401
     0.01139    0.69891
     0.01418    0.62682
     0.01738    0.55956
     0.02106    0.49837
     0.02531    0.44382
     0.03026    0.39650
     0.03607    0.35617
     0.04295    0.32148
     0.05116    0.28855
     0.06088    0.25166
     0.07216    0.20949
     0.08485    0.16878
     0.09881    0.13467
     0.11380    0.10384
     0.12949    0.06987
     0.14551    0.03080
     0.16157   -0.01158
     0.17751   -0.05648
     0.19320   -0.10454
     0.20852   -0.15468
     0.22343   -0.20281
     0.23803   -0.24290
     0.25244   -0.27022
     0.26686   -0.28250
     0.28145   -0.28061
     0.29639   -0.26791
     0.31181   -0.24881
     0.32779   -0.22677
     0.34436   -0.20597
     0.36126   -0.18869
     0.37824   -0.17432
     0.39518   -0.16214
     0.41202   -0.15108
     0.42874   -0.14007
     0.44537   -0.12831
     0.46194   -0.11554
     0.47844   -0.10203
     0.49483   -0.08859
     0.51097   -0.07618
     0.52659   -0.06559
     0.54119   -0.05690
     0.55575   -0.04900
     0.57123   -0.04105
     0.58759   -0.03323
     0.60442   -0.02585
     0.62123   -0.01908
     0.63778   -0.01285
     0.65402   -0.00694
     0.67010   -0.00112
     0.68626    0.00475
     0.70272    0.01068
     0.71948    0.01587
     0.73622    0.01856
     0.75276    0.01887
     0.76917    0.01876
     0.78554    0.02001
     0.80190    0.02334
     0.81824    0.02881
     0.83457    0.03608
     0.85094    0.04413
     0.86746    0.05140
     0.88417    0.05699
     0.90101    0.06131
     0.91783    0.06485
     0.93445    0.06752
     0.95059    0.06944
     0.96582    0.07079
     0.97955    0.07171
     0.99136    0.07233
     1.00000    0.07277
