#      x          Cp  
     1.00000    0.17904
     0.99139    0.16700
     0.97960    0.14988
     0.96589    0.13114
     0.95066    0.11217
     0.93459    0.09354
     0.91813    0.07380
     0.90142    0.05214
     0.88453    0.02989
     0.86762    0.00814
     0.85080   -0.01416
     0.83406   -0.03910
     0.81731   -0.06781
     0.80049   -0.10009
     0.78362   -0.13597
     0.76676   -0.17698
     0.74995   -0.22562
     0.73343   -0.28253
     0.71740   -0.34421
     0.70189   -0.40381
     0.68674   -0.45387
     0.67175   -0.48856
     0.65671   -0.50637
     0.64147   -0.50918
     0.62601   -0.50272
     0.61048   -0.49330
     0.59532   -0.48455
     0.58113   -0.48546
     0.56847   -0.45521
     0.55721   -0.51923
     0.54606   -0.55379
     0.53333   -0.49138
     0.51881   -0.47926
     0.50283   -0.46633
     0.48596   -0.46076
     0.46863   -0.46147
     0.45106   -0.46841
     0.43339   -0.48085
     0.41575   -0.49725
     0.39826   -0.51515
     0.38099   -0.53125
     0.36392   -0.54131
     0.34696   -0.54079
     0.33004   -0.52096
     0.31320   -0.49724
     0.29679   -0.48263
     0.28082   -0.48612
     0.26507   -0.51803
     0.24917   -0.58298
     0.23290   -0.67735
     0.21648   -0.78833
     0.20034   -0.90198
     0.18462   -1.01286
     0.16933   -1.12085
     0.15450   -1.22492
     0.14012   -1.32097
     0.12622   -1.41711
     0.11284   -1.62532
     0.10009   -1.79854
     0.08815   -1.86347
     0.07718   -1.93878
     0.06724   -2.02924
     0.05833   -2.12362
     0.05042   -2.20465
     0.04341   -2.27022
     0.03724   -2.32577
     0.03182   -2.37965
     0.02705   -2.43710
     0.02285   -2.49789
     0.01914   -2.56258
     0.01587   -2.62577
     0.01298   -2.68492
     0.01042   -2.73324
     0.00818   -2.75984
     0.00622   -2.75720
     0.00454   -2.70499
     0.00312   -2.58689
     0.00198   -2.38898
     0.00109   -2.09528
     0.00048   -1.71848
     0.00012   -1.28599
    -0.00001   -0.85569
     0.00011   -0.41043
     0.00050    0.00505
     0.00116    0.35681
     0.00212    0.62433
     0.00336    0.80949
     0.00489    0.92284
     0.00672    0.98128
     0.00885    0.99982
     0.01131    0.99109
     0.01414    0.96411
     0.01740    0.92592
     0.02114    0.88056
     0.02547    0.83221
     0.03054    0.78262
     0.03650    0.73414
     0.04361    0.68654
     0.05209    0.63752
     0.06213    0.58290
     0.07370    0.52398
     0.08666    0.46787
     0.10079    0.41763
     0.11585    0.36968
     0.13149    0.31975
     0.14738    0.26769
     0.16328    0.21495
     0.17904    0.16108
     0.19453    0.10496
     0.20966    0.04776
     0.22441   -0.00633
     0.23888   -0.05176
     0.25322   -0.08387
     0.26760   -0.10044
     0.28221   -0.10207
     0.29721   -0.09162
     0.31274   -0.07395
     0.32892   -0.05199
     0.34574   -0.03362
     0.36290   -0.02255
     0.38013   -0.01702
     0.39729   -0.01474
     0.41431   -0.01295
     0.43121   -0.00950
     0.44799   -0.00300
     0.46468    0.00725
     0.48124    0.02113
     0.49759    0.03689
     0.51346    0.05129
     0.52847    0.06138
     0.54219    0.06808
     0.55592    0.07528
     0.57093    0.08295
     0.58709    0.09078
     0.60378    0.10532
     0.62043    0.17698
     0.63670    0.21138
     0.65257    0.22447
     0.66820    0.22390
     0.68390    0.20973
     0.69995    0.18322
     0.71654    0.14897
     0.73356    0.11397
     0.75065    0.08417
     0.76767    0.06137
     0.78463    0.04394
     0.80150    0.02960
     0.81828    0.01804
     0.83498    0.01129
     0.85167    0.01100
     0.86843    0.01561
     0.88523    0.02118
     0.90195    0.02632
     0.91847    0.03519
     0.93473    0.05290
     0.95065    0.07771
     0.96578    0.10408
     0.97951    0.13043
     0.99134    0.15904
     1.00000    0.17904
