#      x          Cp  
     1.00000    0.19463
     0.99093    0.18345
     0.97845    0.16614
     0.96396    0.14883
     0.94798    0.13167
     0.93112    0.11504
     0.91384    0.09884
     0.89639    0.08280
     0.87889    0.06663
     0.86141    0.05008
     0.84401    0.03295
     0.82673    0.01532
     0.80966   -0.00373
     0.79284   -0.02562
     0.77632   -0.05199
     0.76015   -0.08548
     0.74443   -0.13049
     0.72959   -0.18120
     0.71634   -0.23036
     0.70502   -0.26213
     0.69557   -0.30106
     0.68760   -0.24523
     0.68071   -0.30197
     0.67402   -0.57372
     0.66676   -0.79142
     0.65849   -0.69553
     0.64829   -0.55174
     0.63610   -0.50497
     0.62202   -0.46698
     0.60648   -0.44075
     0.59001   -0.42078
     0.57303   -0.40449
     0.55581   -0.38943
     0.53847   -0.37348
     0.52105   -0.35498
     0.50353   -0.33281
     0.48587   -0.30638
     0.46803   -0.27573
     0.44998   -0.24150
     0.43178   -0.20532
     0.41365   -0.16959
     0.39583   -0.13697
     0.37839   -0.10962
     0.36132   -0.08900
     0.34455   -0.07586
     0.32805   -0.06964
     0.31177   -0.07041
     0.29566   -0.08094
     0.27960   -0.10593
     0.26332   -0.15912
     0.24661   -0.25125
     0.22985   -0.47085
     0.21349   -0.54668
     0.19757   -0.56829
     0.18194   -0.59861
     0.16654   -0.63922
     0.15140   -0.68559
     0.13659   -0.73066
     0.12224   -0.77302
     0.10847   -0.80952
     0.09544   -0.83804
     0.08328   -0.85716
     0.07212   -0.86562
     0.06207   -0.86365
     0.05314   -0.85123
     0.04531   -0.82937
     0.03850   -0.79826
     0.03257   -0.75902
     0.02743   -0.71084
     0.02294   -0.65441
     0.01903   -0.58767
     0.01560   -0.51041
     0.01260   -0.42013
     0.00998   -0.31506
     0.00770   -0.19282
     0.00573   -0.05153
     0.00406    0.10890
     0.00268    0.28639
     0.00159    0.47218
     0.00079    0.65295
     0.00027    0.80882
     0.00002    0.92308
     0.00002    0.98808
     0.00031    0.99619
     0.00089    0.94879
     0.00180    0.85965
     0.00304    0.74823
     0.00460    0.63240
     0.00649    0.52362
     0.00874    0.42749
     0.01135    0.34520
     0.01440    0.27623
     0.01793    0.21900
     0.02204    0.17165
     0.02686    0.13239
     0.03256    0.09953
     0.03935    0.07146
     0.04751    0.04670
     0.05727    0.02357
     0.06879    0.00047
     0.08204   -0.02400
     0.09672   -0.05062
     0.11244   -0.07938
     0.12885   -0.10761
     0.14577   -0.13630
     0.16298   -0.16967
     0.18024   -0.21176
     0.19719   -0.27326
     0.21353   -0.34559
     0.22926   -0.41694
     0.24451   -0.48010
     0.25946   -0.52553
     0.27434   -0.54834
     0.28928   -0.55544
     0.30438   -0.55007
     0.31966   -0.53422
     0.33513   -0.50960
     0.35081   -0.47798
     0.36672   -0.44499
     0.38290   -0.42025
     0.39940   -0.40313
     0.41626   -0.39153
     0.43352   -0.38159
     0.45117   -0.28954
     0.46919   -0.12220
     0.48748   -0.07334
     0.50584   -0.04314
     0.52411   -0.01468
     0.54224    0.01292
     0.56012    0.04028
     0.57755    0.06846
     0.59408    0.09911
     0.60912    0.13143
     0.62213    0.17262
     0.63307    0.20212
     0.64227    0.28250
     0.65087    0.25267
     0.66032    0.12908
     0.67029    0.10786
     0.68179    0.11433
     0.69530    0.08237
     0.71052    0.04470
     0.72685    0.00071
     0.74348   -0.04025
     0.76015   -0.06641
     0.77690   -0.07987
     0.79381   -0.08515
     0.81087   -0.08427
     0.82809   -0.07894
     0.84542   -0.07125
     0.86281   -0.06107
     0.88022   -0.04768
     0.89760   -0.03074
     0.91488   -0.00981
     0.93194    0.01562
     0.94853    0.04595
     0.96425    0.08121
     0.97854    0.12040
     0.99092    0.16153
     1.00000    0.19463
