#      x          Cp  
     1.00000    0.18225
     0.99109    0.17129
     0.97885    0.15511
     0.96459    0.13712
     0.94884    0.11800
     0.93220    0.09855
     0.91513    0.07910
     0.89789    0.05971
     0.88062    0.04021
     0.86337    0.02040
     0.84619    0.00003
     0.82912   -0.02101
     0.81222   -0.04339
     0.79550   -0.06846
     0.77896   -0.09806
     0.76253   -0.13515
     0.74609   -0.18631
     0.72958   -0.25191
     0.71336   -0.32630
     0.69767   -0.40306
     0.68249   -0.47541
     0.66771   -0.53336
     0.65323   -0.57554
     0.63920   -0.60985
     0.62590   -0.63603
     0.61382   -0.70556
     0.60310   -0.67291
     0.59287   -0.47011
     0.58193   -0.53689
     0.56919   -0.50300
     0.55455   -0.49023
     0.53842   -0.47309
     0.52137   -0.46161
     0.50389   -0.45342
     0.48625   -0.44580
     0.46855   -0.43550
     0.45079   -0.42031
     0.43293   -0.39962
     0.41502   -0.37500
     0.39725   -0.35014
     0.37983   -0.32950
     0.36276   -0.31654
     0.34597   -0.31267
     0.32945   -0.31388
     0.31321   -0.32422
     0.29716   -0.34736
     0.28119   -0.38702
     0.26506   -0.45676
     0.24856   -0.55595
     0.23193   -0.67193
     0.21566   -0.79236
     0.19983   -0.90006
     0.18431   -0.99193
     0.16904   -1.07521
     0.15403   -1.15934
     0.13934   -1.30577
     0.12507   -1.48798
     0.11137   -1.54565
     0.09835   -1.61184
     0.08615   -1.68829
     0.07490   -1.77036
     0.06471   -1.85214
     0.05561   -1.92976
     0.04759   -2.00252
     0.04059   -2.06922
     0.03448   -2.13088
     0.02917   -2.18672
     0.02454   -2.23668
     0.02049   -2.28036
     0.01694   -2.31455
     0.01383   -2.33909
     0.01109   -2.34660
     0.00870   -2.33469
     0.00663   -2.29116
     0.00485   -2.20835
     0.00335   -2.07078
     0.00213   -1.86765
     0.00119   -1.59039
     0.00053   -1.24724
     0.00013   -0.85914
    -0.00001   -0.45949
     0.00009   -0.06502
     0.00048    0.28744
     0.00116    0.57794
     0.00216    0.78668
     0.00346    0.91667
     0.00508    0.98191
     0.00703    1.00000
     0.00931    0.98678
     0.01197    0.95378
     0.01504    0.90970
     0.01860    0.85897
     0.02273    0.80572
     0.02757    0.75098
     0.03327    0.69641
     0.04006    0.64207
     0.04816    0.58835
     0.05783    0.53519
     0.06919    0.48270
     0.08219    0.43103
     0.09656    0.38046
     0.11193    0.33123
     0.12796    0.28482
     0.14447    0.24070
     0.16127    0.19582
     0.17815    0.14765
     0.19483    0.08903
     0.21099    0.02235
     0.22660   -0.04393
     0.24175   -0.10532
     0.25659   -0.15571
     0.27132   -0.18898
     0.28610   -0.20923
     0.30102   -0.21933
     0.31612   -0.22048
     0.33145   -0.21329
     0.34701   -0.20157
     0.36278   -0.18378
     0.37882   -0.16014
     0.39518   -0.13400
     0.41192   -0.11067
     0.42905   -0.09242
     0.44653   -0.07759
     0.46427   -0.06503
     0.48209   -0.05309
     0.49984   -0.00365
     0.51730    0.07552
     0.53421    0.09866
     0.55012    0.11695
     0.56443    0.13493
     0.57672    0.16473
     0.58706    0.15409
     0.59599    0.17557
     0.60442    0.29600
     0.61373    0.26504
     0.62465    0.25792
     0.63704    0.25227
     0.65066    0.24580
     0.66518    0.23160
     0.68048    0.20328
     0.69660    0.16438
     0.71340    0.11874
     0.73039    0.07180
     0.74716    0.03125
     0.76377    0.00592
     0.78038   -0.00909
     0.79708   -0.01719
     0.81391   -0.02009
     0.83087   -0.01926
     0.84793   -0.01635
     0.86504   -0.01106
     0.88218   -0.00301
     0.89929    0.00805
     0.91632    0.02240
     0.93313    0.04043
     0.94947    0.06254
     0.96493    0.08905
     0.97896    0.11970
     0.99109    0.15446
     1.00000    0.18225
