--------------------------------------------------------------
  XFOIL-like Polar Output (Generated by NeuralFoil)
--------------------------------------------------------------
  alpha     CL        CD       Cm        CL/CD
--------------------------------------------------------------
  -5.000  -0.27804   0.09986  -0.04802  -2.78425
  -4.915  -0.27294   0.09840  -0.04950  -2.77391
  -4.829  -0.26790   0.09686  -0.05105  -2.76577
  -4.744  -0.26315   0.09527  -0.05265  -2.76218
  -4.658  -0.25886   0.09362  -0.05426  -2.76486
  -4.573  -0.25509   0.09195  -0.05587  -2.77434
  -4.487  -0.25177   0.09027  -0.05749  -2.78903
  -4.402  -0.24860   0.08865  -0.05915  -2.80422
  -4.317  -0.24500   0.08716  -0.06090  -2.81111
  -4.231  -0.24010   0.08583  -0.06282  -2.79736
  -4.146  -0.23295   0.08466  -0.06506  -2.75153
  -4.060  -0.22311   0.08341  -0.06779  -2.67489
  -3.975  -0.21187   0.08142  -0.07126  -2.60222
  -3.889  -0.20364   0.07756  -0.07577  -2.62575
  -3.804  -0.20547   0.07069  -0.08155  -2.90664
  -3.719  -0.22249   0.06101  -0.08862  -3.64672
  -3.633  -0.25131   0.05060  -0.09641  -4.96646
  -3.548  -0.27979   0.04192  -0.10391  -6.67395
  -3.462  -0.29590   0.03607  -0.11010  -8.20451
  -3.377  -0.29581   0.03276  -0.11452  -9.02900
  -3.291  -0.28324   0.03126  -0.11725  -9.06179
  -3.206  -0.26412   0.03084  -0.11863  -8.56355
  -3.121  -0.24312   0.03097  -0.11906  -7.85107
  -3.035  -0.22358   0.03115  -0.11893  -7.17656
  -2.950  -0.20876   0.03092  -0.11860  -6.75166
  -2.864  -0.20191   0.02985  -0.11836  -6.76377
  -2.779  -0.20329   0.02794  -0.11824  -7.27727
  -2.693  -0.20717   0.02571  -0.11802  -8.05878
  -2.608  -0.20583   0.02382  -0.11743  -8.64108
  -2.523  -0.19705   0.02252  -0.11659  -8.75082
  -2.437  -0.18417   0.02169  -0.11580  -8.49172
  -2.352  -0.17094   0.02115  -0.11528  -8.08250
  -2.266  -0.15897   0.02078  -0.11505  -7.65073
  -2.181  -0.14835   0.02052  -0.11502  -7.23066
  -2.095  -0.13861   0.02033  -0.11509  -6.81766
  -2.010  -0.12934   0.02020  -0.11518  -6.40130
  -1.925  -0.12024   0.02012  -0.11525  -5.97565
  -1.839  -0.11119   0.02007  -0.11530  -5.53966
  -1.754  -0.10211   0.02004  -0.11531  -5.09502
  -1.668  -0.09299   0.02002  -0.11529  -4.64422
  -1.583  -0.08383   0.02001  -0.11524  -4.18945
  -1.497  -0.07464   0.02000  -0.11517  -3.73222
  -1.412  -0.06543   0.01999  -0.11509  -3.27332
  -1.327  -0.05619   0.01997  -0.11500  -2.81306
  -1.241  -0.04693   0.01996  -0.11491  -2.35144
  -1.156  -0.03766   0.01994  -0.11482  -1.88836
  -1.070  -0.02837   0.01993  -0.11473  -1.42371
  -0.985  -0.01906   0.01991  -0.11465  -0.95743
  -0.899  -0.00974   0.01989  -0.11457  -0.48952
  -0.814  -0.00040   0.01987  -0.11450  -0.02004
  -0.729   0.00895   0.01985  -0.11444   0.45092
  -0.643   0.01831   0.01983  -0.11438   0.92328
  -0.558   0.02768   0.01981  -0.11432   1.39696
  -0.472   0.03705   0.01979  -0.11427   1.87190
  -0.387   0.04642   0.01977  -0.11423   2.34810
  -0.302   0.05578   0.01974  -0.11419   2.82557
  -0.216   0.06515   0.01972  -0.11415   3.30441
  -0.131   0.07451   0.01969  -0.11412   3.78474
  -0.045   0.08386   0.01966  -0.11409   4.26673
   0.040   0.09321   0.01962  -0.11407   4.75061
   0.126   0.10255   0.01958  -0.11404   5.23664
   0.211   0.11190   0.01954  -0.11403   5.72508
   0.296   0.12124   0.01950  -0.11401   6.21621
   0.382   0.13058   0.01946  -0.11400   6.71029
   0.467   0.13993   0.01941  -0.11399   7.20757
   0.553   0.14928   0.01937  -0.11398   7.70825
   0.638   0.15863   0.01932  -0.11398   8.21249
   0.724   0.16799   0.01926  -0.11398   8.72046
   0.809   0.17736   0.01921  -0.11398   9.23230
   0.894   0.18673   0.01916  -0.11398   9.74815
   0.980   0.19610   0.01910  -0.11399  10.26815
   1.065   0.20548   0.01904  -0.11399  10.79247
   1.151   0.21486   0.01898  -0.11400  11.32127
   1.236   0.22424   0.01892  -0.11401  11.85473
   1.322   0.23363   0.01885  -0.11402  12.39305
   1.407   0.24301   0.01879  -0.11403  12.93643
   1.492   0.25241   0.01872  -0.11405  13.48505
   1.578   0.26180   0.01865  -0.11406  14.03909
   1.663   0.27120   0.01858  -0.11407  14.59871
   1.749   0.28061   0.01850  -0.11409  15.16403
   1.834   0.29002   0.01843  -0.11410  15.73511
   1.920   0.29944   0.01836  -0.11412  16.31197
