  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000  -0.1723   0.01021   0.00134  -0.0127   0.2391   0.4562 101.9271 221.3712
  -4.915  -0.1631   0.01025   0.00135  -0.0125   0.2327   0.4588 102.6396 221.6249
  -4.829  -0.1539   0.01029   0.00137  -0.0124   0.2277   0.4616 103.2040 221.8926
  -4.744  -0.1446   0.01032   0.00138  -0.0123   0.2234   0.4640 103.6994 222.1260
  -4.658  -0.1355   0.01034   0.00139  -0.0122   0.2199   0.4664 104.1000 222.3632
  -4.573  -0.1262   0.01035   0.00141  -0.0121   0.2164   0.4692 104.4970 222.6287
  -4.487  -0.1168   0.01039   0.00142  -0.0120   0.2134   0.4721 104.8429 222.9095
  -4.402  -0.1076   0.01041   0.00144  -0.0118   0.2107   0.4747 105.1586 223.1556
  -4.317  -0.0983   0.01041   0.00145  -0.0117   0.2079   0.4774 105.4884 223.4157
  -4.231  -0.0890   0.01044   0.00147  -0.0116   0.2053   0.4803 105.7892 223.7017
  -4.060  -0.0703   0.01047   0.00150  -0.0114   0.2004   0.4861 106.3688 224.2551
  -3.975  -0.0610   0.01048   0.00151  -0.0113   0.1981   0.4891 106.6519 224.5484
  -3.889  -0.0517   0.01052   0.00152  -0.0112   0.1959   0.4924 106.9034 224.8620
  -3.804  -0.0424   0.01054   0.00154  -0.0111   0.1938   0.4954 107.1607 225.1507
  -3.719  -0.0330   0.01054   0.00156  -0.0110   0.1915   0.4985 107.4378 225.4543
  -3.633  -0.0236   0.01055   0.00157  -0.0110   0.1893   0.5020 107.6978 225.7887
  -3.548  -0.0144   0.01059   0.00158  -0.0108   0.1874   0.5053 107.9323 226.1064
  -3.462  -0.0051   0.01059   0.00160  -0.0108   0.1853   0.5086 108.1847 226.4261
  -3.377   0.0044   0.01059   0.00161  -0.0107   0.1832   0.5124 108.4529 226.7867
  -3.292   0.0138   0.01060   0.00162  -0.0106   0.1812   0.5160 108.6937 227.1306
  -3.206   0.0230   0.01063   0.00164  -0.0105   0.1795   0.5197 108.9005 227.4865
  -3.121   0.0323   0.01065   0.00165  -0.0104   0.1778   0.5238 109.1085 227.8830
  -3.035   0.0417   0.01065   0.00168  -0.0103   0.1759   0.5277 109.3429 228.2586
  -2.950   0.0511   0.01066   0.00169  -0.0103   0.1741   0.5320 109.5672 228.6802
  -2.864   0.0604   0.01067   0.00171  -0.0102   0.1725   0.5365 109.7701 229.1073
  -2.779   0.0695   0.01070   0.00172  -0.0101   0.1710   0.5410 109.9578 229.5449
  -2.608   0.0883   0.01071   0.00176  -0.0099   0.1674   0.5510 110.4152 230.5051
  -2.523   0.0977   0.01071   0.00178  -0.0098   0.1656   0.5565 110.6440 231.0425
  -2.437   0.1068   0.01072   0.00179  -0.0097   0.1640   0.5621 110.8485 231.5885
  -2.352   0.1159   0.01075   0.00180  -0.0096   0.1624   0.5681 111.0498 232.1692
  -2.266   0.1254   0.01074   0.00183  -0.0096   0.1606   0.5748 111.2886 232.8128
  -2.181   0.1347   0.01074   0.00185  -0.0095   0.1588   0.5816 111.5225 233.4817
  -2.095   0.1439   0.01074   0.00187  -0.0094   0.1571   0.5891 111.7346 234.2103
  -1.925   0.1622   0.01080   0.00194  -0.0092   0.1541   0.6056 112.1277 235.8254
  -1.839   0.1715   0.01083   0.00200  -0.0090   0.1524   0.6142 112.3509 236.6744
  -1.754   0.1808   0.01090   0.00208  -0.0089   0.1508   0.6224 112.5610 237.4927
  -1.668   0.1901   0.01099   0.00217  -0.0088   0.1494   0.6300 112.7516 238.2419
  -1.583   0.1993   0.01111   0.00226  -0.0087   0.1481   0.6373 112.9249 238.9751
  -1.498   0.2085   0.01121   0.00236  -0.0085   0.1467   0.6436 113.1176 239.5993
  -1.412   0.2179   0.01128   0.00245  -0.0084   0.1450   0.6508 113.3450 240.3287
  -1.327   0.2274   0.01135   0.00252  -0.0083   0.1433   0.6588 113.5715 241.1326
  -1.241   0.2368   0.01143   0.00257  -0.0082   0.1417   0.6649 113.7791 241.7541
  -1.070   0.2569   0.01175   0.00261  -0.0085   0.1385   0.6855 114.2252 243.9064
  -0.985   0.2663   0.01175   0.00262  -0.0084   0.1367   0.6881 114.4707 244.1744
  -0.899   0.2756   0.01175   0.00263  -0.0083   0.1351   0.6906 114.6887 244.4367
  -0.814   0.2848   0.01179   0.00263  -0.0082   0.1337   0.6934 114.8803 244.7249
  -0.729   0.2941   0.01186   0.00264  -0.0082   0.1323   0.6962 115.0779 245.0178
  -0.643   0.3034   0.01184   0.00268  -0.0081   0.1307   0.6985 115.3079 245.2554
  -0.558   0.3127   0.01186   0.00270  -0.0080   0.1291   0.7011 115.5269 245.5285
  -0.472   0.3221   0.01190   0.00271  -0.0079   0.1277   0.7039 115.7246 245.8267
  -0.387   0.3313   0.01195   0.00271  -0.0079   0.1264   0.7065 115.9041 246.0954
  -0.301   0.3404   0.01199   0.00274  -0.0078   0.1250   0.7088 116.1052 246.3431
  -0.216   0.3498   0.01201   0.00277  -0.0077   0.1234   0.7115 116.3456 246.6227
  -0.131   0.3592   0.01205   0.00279  -0.0077   0.1218   0.7142 116.5789 246.9168
  -0.045   0.3685   0.01207   0.00279  -0.0076   0.1203   0.7165 116.7899 247.1630
   0.040   0.3774   0.01213   0.00279  -0.0075   0.1189   0.7189 116.9904 247.4142
   0.126   0.3869   0.01215   0.00283  -0.0074   0.1172   0.7215 117.2497 247.6885
   0.211   0.3964   0.01218   0.00284  -0.0074   0.1154   0.7241 117.5127 247.9676
   0.296   0.4056   0.01219   0.00285  -0.0073   0.1138   0.7262 117.7415 248.1927
   0.382   0.4147   0.01225   0.00285  -0.0072   0.1125   0.7284 117.9403 248.4318
   0.467   0.4240   0.01230   0.00289  -0.0072   0.1110   0.7307 118.1678 248.6817
   0.553   0.4334   0.01234   0.00292  -0.0072   0.1093   0.7330 118.4153 248.9358
   0.638   0.4427   0.01237   0.00294  -0.0071   0.1079   0.7350 118.6398 249.1527
   0.724   0.4518   0.01241   0.00295  -0.0070   0.1065   0.7371 118.8409 249.3795
   0.809   0.4608   0.01249   0.00298  -0.0069   0.1052   0.7394 119.0442 249.6255
   0.894   0.4703   0.01253   0.00302  -0.0069   0.1036   0.7417 119.3024 249.8836
   0.980   0.4796   0.01256   0.00304  -0.0069   0.1020   0.7438 119.5528 250.1131
   1.065   0.4888   0.01260   0.00305  -0.0068   0.1005   0.7459 119.7756 250.3411
   1.151   0.4977   0.01269   0.00306  -0.0067   0.0992   0.7481 119.9839 250.5832
   1.236   0.5071   0.01273   0.00311  -0.0067   0.0976   0.7503 120.2488 250.8287
   1.322   0.5165   0.01277   0.00314  -0.0066   0.0958   0.7523 120.5221 251.0524
   1.407   0.5257   0.01280   0.00315  -0.0066   0.0943   0.7541 120.7656 251.2527
   1.492   0.5346   0.01289   0.00316  -0.0065   0.0929   0.7559 120.9885 251.4609
   1.578   0.5440   0.01292   0.00321  -0.0065   0.0913   0.7578 121.2682 251.6699
   1.663   0.5534   0.01297   0.00323  -0.0065   0.0896   0.7596 121.5420 251.8715
   1.749   0.5627   0.01303   0.00325  -0.0064   0.0882   0.7612 121.7776 252.0513
   1.834   0.5715   0.01313   0.00327  -0.0064   0.0869   0.7627 121.9867 252.2213
   1.920   0.5808   0.01317   0.00333  -0.0063   0.0854   0.7643 122.2420 252.4054
   2.005   0.5900   0.01323   0.00337  -0.0063   0.0839   0.7661 122.5001 252.5985
   2.091   0.5992   0.01330   0.00340  -0.0062   0.0825   0.7678 122.7324 252.7961
   2.176   0.6082   0.01342   0.00342  -0.0062   0.0813   0.7695 122.9471 252.9905
   2.261   0.6173   0.01348   0.00349  -0.0061   0.0798   0.7710 123.2009 253.1644
   2.347   0.6265   0.01354   0.00354  -0.0061   0.0783   0.7727 123.4741 253.3560
   2.432   0.6356   0.01360   0.00357  -0.0060   0.0769   0.7745 123.7210 253.5586
   2.518   0.6445   0.01371   0.00360  -0.0060   0.0756   0.7762 123.9424 253.7615
   2.603   0.6537   0.01380   0.00366  -0.0060   0.0742   0.7780 124.2005 253.9589
   2.688   0.6629   0.01386   0.00371  -0.0059   0.0727   0.7794 124.4744 254.1300
   2.774   0.6720   0.01392   0.00374  -0.0059   0.0714   0.7809 124.7223 254.3008
   2.859   0.6808   0.01404   0.00377  -0.0058   0.0701   0.7824 124.9474 254.4713
   2.945   0.6899   0.01413   0.00384  -0.0058   0.0687   0.7838 125.2098 254.6398
   3.030   0.6991   0.01420   0.00390  -0.0058   0.0673   0.7852 125.4858 254.8004
   3.116   0.7083   0.01429   0.00393  -0.0058   0.0660   0.7865 125.7328 254.9500
   3.201   0.7169   0.01443   0.00398  -0.0057   0.0648   0.7876 125.9588 255.0811
   3.286   0.7260   0.01451   0.00406  -0.0057   0.0634   0.7887 126.2194 255.2147
   3.372   0.7351   0.01459   0.00412  -0.0056   0.0621   0.7899 126.4874 255.3585
   3.457   0.7441   0.01468   0.00417  -0.0056   0.0609   0.7913 126.7214 255.5133
   3.543   0.7528   0.01482   0.00423  -0.0056   0.0598   0.7927 126.9263 255.6788
   3.628   0.7617   0.01495   0.00432  -0.0055   0.0587   0.7941 127.1477 255.8508
   3.799   0.7797   0.01515   0.00447  -0.0054   0.0565   0.7969 127.6118 256.1806
   3.884   0.7885   0.01527   0.00453  -0.0054   0.0555   0.7983 127.8097 256.3481
   3.970   0.7967   0.01546   0.00462  -0.0053   0.0546   0.7997 128.0011 256.5167
   4.055   0.8058   0.01556   0.00472  -0.0052   0.0536   0.8011 128.2182 256.6832
   4.141   0.8148   0.01568   0.00481  -0.0052   0.0525   0.8024 128.4411 256.8407
   4.226   0.8237   0.01580   0.00489  -0.0052   0.0515   0.8036 128.6465 256.9893
   4.312   0.8322   0.01595   0.00497  -0.0051   0.0507   0.8047 128.8321 257.1198
   4.397   0.8403   0.01617   0.00508  -0.0050   0.0498   0.8058 129.0193 257.2549
   4.482   0.8493   0.01627   0.00519  -0.0049   0.0489   0.8070 129.2272 257.3986
   4.568   0.8582   0.01639   0.00529  -0.0049   0.0479   0.8083 129.4420 257.5573
   4.653   0.8669   0.01652   0.00538  -0.0048   0.0470   0.8097 129.6395 257.7242
   4.739   0.8755   0.01667   0.00546  -0.0048   0.0462   0.8111 129.8149 257.8939
   4.824   0.8834   0.01690   0.00558  -0.0047   0.0455   0.8124 129.9845 258.0547
   4.910   0.8922   0.01703   0.00570  -0.0046   0.0447   0.8137 130.1675 258.2136
   4.995   0.9009   0.01716   0.00582  -0.0045   0.0438   0.8149 130.3624 258.3723
   5.080   0.9096   0.01730   0.00592  -0.0045   0.0431   0.8163 130.5454 258.5365
   5.166   0.9181   0.01744   0.00601  -0.0044   0.0423   0.8176 130.7104 258.6980
   5.251   0.9263   0.01762   0.00611  -0.0043   0.0417   0.8189 130.8619 258.8585
   5.422   0.9426   0.01803   0.00641  -0.0041   0.0404   0.8214 131.1767 259.1818
   5.508   0.9511   0.01818   0.00654  -0.0040   0.0397   0.8229 131.3479 259.3620
   5.593   0.9595   0.01833   0.00666  -0.0039   0.0390   0.8246 131.5128 259.5746
   5.678   0.9678   0.01849   0.00677  -0.0038   0.0384   0.8265 131.6641 259.8228
   5.764   0.9758   0.01867   0.00688  -0.0037   0.0378   0.8288 131.8021 260.1055
   5.849   0.9831   0.01892   0.00703  -0.0035   0.0373   0.8314 131.9379 260.4371
   5.935   0.9908   0.01915   0.00721  -0.0033   0.0367   0.8344 132.0766 260.8273
   6.020   0.9990   0.01930   0.00737  -0.0032   0.0362   0.8378 132.2268 261.2668
   6.106   1.0070   0.01945   0.00752  -0.0030   0.0355   0.8418 132.3821 261.7923
   6.191   1.0149   0.01960   0.00765  -0.0028   0.0350   0.8465 132.5289 262.4162
   6.276   1.0225   0.01976   0.00777  -0.0026   0.0345   0.8522 132.6609 263.1699
   6.362   1.0298   0.01992   0.00790  -0.0024   0.0340   0.8589 132.7772 264.0951
   6.447   1.0365   0.02011   0.00804  -0.0020   0.0336   0.8677 132.8824 265.3175
   6.533   1.0420   0.02039   0.00824  -0.0014   0.0332   0.8808 132.9886 267.2112
   6.618   1.0485   0.02051   0.00842  -0.0009   0.0328   0.9084 133.0892 271.5171
   6.704   1.0627   0.02075   0.00868  -0.0021   0.0322   0.9662 133.2488 283.2695
   6.789   1.0715   0.02098   0.00887  -0.0022   0.0318   1.0001 133.3759 301.0000
   6.874   1.0792   0.02122   0.00905  -0.0020   0.0314   1.0001 133.4909 301.0000
   6.960   1.0868   0.02145   0.00922  -0.0019   0.0310   1.0001 133.5976 301.0000
   7.045   1.0942   0.02169   0.00938  -0.0018   0.0306   1.0001 133.6960 301.0000
   7.131   1.1015   0.02194   0.00954  -0.0016   0.0303   1.0001 133.7875 301.0000
   7.216   1.1082   0.02224   0.00973  -0.0014   0.0299   1.0001 133.8758 301.0000
   7.301   1.1140   0.02265   0.00998  -0.0010   0.0296   1.0001 133.9677 301.0000
   7.387   1.1207   0.02299   0.01025  -0.0007   0.0293   1.0001 134.0533 301.0000
   7.472   1.1279   0.02327   0.01050  -0.0005   0.0290   1.0001 134.1413 301.0000
   7.558   1.1349   0.02356   0.01076  -0.0003   0.0287   1.0001 134.2338 301.0000
   7.643   1.1417   0.02386   0.01100  -0.0001   0.0284   1.0001 134.3269 301.0000
   7.729   1.1485   0.02415   0.01124   0.0002   0.0280   1.0001 134.4171 301.0000
   7.814   1.1552   0.02445   0.01147   0.0004   0.0277   1.0001 134.5038 301.0000
   7.899   1.1617   0.02474   0.01169   0.0006   0.0275   1.0001 134.5860 301.0000
   7.985   1.1682   0.02503   0.01189   0.0009   0.0272   1.0001 134.6635 301.0000
   8.070   1.1745   0.02532   0.01210   0.0012   0.0269   1.0001 134.7367 301.0000
   8.156   1.1805   0.02564   0.01231   0.0015   0.0267   1.0001 134.8063 301.0000
   8.241   1.1860   0.02601   0.01255   0.0018   0.0265   1.0001 134.8746 301.0000
   8.327   1.1904   0.02647   0.01285   0.0023   0.0262   1.0001 134.9455 301.0000
   8.412   1.1944   0.02700   0.01323   0.0029   0.0260   1.0001 135.0158 301.0000
   8.498   1.2005   0.02733   0.01354   0.0032   0.0258   1.0001 135.0766 301.0000
   8.583   1.2062   0.02768   0.01387   0.0035   0.0256   1.0001 135.1455 301.0000
   8.668   1.2116   0.02806   0.01420   0.0039   0.0253   1.0001 135.2189 301.0000
   8.754   1.2168   0.02844   0.01453   0.0043   0.0251   1.0001 135.2939 301.0000
   8.839   1.2219   0.02882   0.01485   0.0047   0.0248   1.0001 135.3682 301.0000
   8.925   1.2268   0.02920   0.01515   0.0051   0.0246   1.0001 135.4407 301.0000
   9.010   1.2316   0.02957   0.01545   0.0055   0.0244   1.0001 135.5106 301.0000
   9.095   1.2364   0.02993   0.01573   0.0060   0.0242   1.0001 135.5772 301.0000
   9.181   1.2410   0.03029   0.01601   0.0064   0.0240   1.0001 135.6401 301.0000
   9.266   1.2454   0.03066   0.01627   0.0069   0.0238   1.0001 135.6999 301.0000
   9.352   1.2495   0.03103   0.01654   0.0073   0.0236   1.0001 135.7560 301.0000
   9.437   1.2532   0.03141   0.01680   0.0079   0.0234   1.0001 135.8088 301.0000
   9.523   1.2559   0.03182   0.01708   0.0086   0.0233   1.0001 135.8573 301.0000
   9.608   1.2574   0.03227   0.01739   0.0094   0.0231   1.0001 135.9034 301.0000
   9.694   1.2577   0.03282   0.01778   0.0104   0.0230   1.0001 135.9490 301.0000
   9.779   1.2566   0.03348   0.01824   0.0115   0.0228   1.0001 135.9952 301.0000
   9.864   1.2579   0.03401   0.01870   0.0123   0.0227   1.0001 136.0340 301.0000
   9.950   1.2592   0.03454   0.01918   0.0131   0.0226   1.0001 136.0753 301.0000
  10.035   1.2601   0.03511   0.01968   0.0138   0.0224   1.0001 136.1188 301.0000
  10.121   1.2605   0.03571   0.02020   0.0146   0.0223   1.0001 136.1635 301.0000
  10.206   1.2606   0.03634   0.02075   0.0153   0.0222   1.0001 136.2083 301.0000
  10.291   1.2604   0.03700   0.02132   0.0161   0.0220   1.0001 136.2526 301.0000
  10.377   1.2599   0.03769   0.02191   0.0168   0.0219   1.0001 136.2956 301.0000
  10.462   1.2591   0.03841   0.02252   0.0175   0.0218   1.0001 136.3371 301.0000
  10.548   1.2580   0.03916   0.02316   0.0181   0.0216   1.0001 136.3769 301.0000
  10.633   1.2567   0.03995   0.02383   0.0187   0.0215   1.0001 136.4147 301.0000
  10.719   1.2551   0.04078   0.02453   0.0192   0.0214   1.0001 136.4504 301.0000
  10.804   1.2532   0.04166   0.02528   0.0197   0.0213   1.0001 136.4839 301.0000
  10.889   1.2509   0.04260   0.02607   0.0201   0.0212   1.0001 136.5153 301.0000
  10.975   1.2483   0.04360   0.02693   0.0204   0.0211   1.0001 136.5441 301.0000
  11.060   1.2451   0.04469   0.02786   0.0206   0.0211   1.0001 136.5701 301.0000
  11.146   1.2415   0.04588   0.02889   0.0207   0.0210   1.0001 136.5938 301.0000
  11.231   1.2372   0.04721   0.03005   0.0206   0.0209   1.0001 136.6142 301.0000
  11.317   1.2321   0.04871   0.03137   0.0204   0.0209   1.0001 136.6309 301.0000
  11.402   1.2258   0.05048   0.03293   0.0198   0.0208   1.0001 136.6426 301.0000
  11.487   1.2179   0.05265   0.03488   0.0188   0.0208   1.0001 136.6477 301.0000
  11.573   1.2068   0.05578   0.03774   0.0166   0.0208   1.0001 136.6392 301.0000
  11.658   1.1822   0.06327   0.04480   0.0100   0.0210   1.0001 136.5715 301.0000
  11.744   1.1337   0.07775   0.05885  -0.0007   0.0216   1.0001 136.4014 301.0000
  11.829   1.1085   0.08393   0.06487  -0.0043   0.0218   1.0001 136.3298 301.0000
  11.915   1.0882   0.08895   0.06980  -0.0072   0.0219   1.0001 136.2806 301.0000
  12.000   1.0682   0.09382   0.07466  -0.0098   0.0221   1.0001 136.2354 301.0000
