  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000   0.0654   0.01217   0.00277  -0.0121   0.1660   0.4852 110.4248 223.8921
  -4.915   0.0749   0.01220   0.00277  -0.0120   0.1646   0.4862 110.5963 223.9958
  -4.829   0.0844   0.01220   0.00278  -0.0119   0.1634   0.4871 110.7506 224.0767
  -4.744   0.0937   0.01223   0.00278  -0.0118   0.1623   0.4879 110.8907 224.1588
  -4.658   0.1029   0.01228   0.00280  -0.0117   0.1611   0.4888 111.0386 224.2440
  -4.573   0.1125   0.01228   0.00284  -0.0116   0.1597   0.4897 111.2257 224.3357
  -4.487   0.1221   0.01230   0.00286  -0.0115   0.1582   0.4907 111.4137 224.4321
  -4.402   0.1316   0.01232   0.00287  -0.0115   0.1568   0.4918 111.5879 224.5327
  -4.317   0.1411   0.01234   0.00287  -0.0114   0.1556   0.4928 111.7450 224.6367
  -4.231   0.1504   0.01238   0.00286  -0.0113   0.1545   0.4939 111.8878 224.7426
  -4.146   0.1597   0.01245   0.00287  -0.0112   0.1533   0.4950 112.0388 224.8475
  -4.060   0.1694   0.01247   0.00290  -0.0111   0.1519   0.4961 112.2303 224.9521
  -3.975   0.1789   0.01248   0.00291  -0.0111   0.1504   0.4970 112.4204 225.0428
  -3.889   0.1883   0.01249   0.00293  -0.0110   0.1491   0.4979 112.5967 225.1260
  -3.804   0.1978   0.01250   0.00294  -0.0109   0.1479   0.4987 112.7545 225.2130
  -3.719   0.2071   0.01254   0.00294  -0.0108   0.1468   0.4997 112.8999 225.3057
  -3.633   0.2163   0.01260   0.00296  -0.0107   0.1456   0.5007 113.0591 225.4034
  -3.548   0.2259   0.01261   0.00299  -0.0107   0.1441   0.5018 113.2565 225.5091
  -3.462   0.2354   0.01264   0.00301  -0.0106   0.1427   0.5029 113.4519 225.6190
  -3.377   0.2449   0.01266   0.00302  -0.0105   0.1413   0.5041 113.6304 225.7311
  -3.292   0.2544   0.01270   0.00301  -0.0105   0.1401   0.5053 113.7896 225.8460
  -3.206   0.2637   0.01276   0.00300  -0.0104   0.1390   0.5064 113.9398 225.9571
  -3.121   0.2731   0.01280   0.00303  -0.0103   0.1377   0.5074 114.1170 226.0504
  -3.035   0.2825   0.01280   0.00307  -0.0103   0.1362   0.5082 114.3205 226.1374
  -2.950   0.2920   0.01282   0.00309  -0.0102   0.1348   0.5092 114.5144 226.2281
  -2.864   0.3014   0.01285   0.00310  -0.0101   0.1336   0.5102 114.6892 226.3255
  -2.779   0.3108   0.01288   0.00310  -0.0101   0.1324   0.5113 114.8483 226.4300
  -2.693   0.3199   0.01296   0.00310  -0.0100   0.1312   0.5124 115.0066 226.5394
  -2.608   0.3295   0.01298   0.00314  -0.0099   0.1298   0.5136 115.2133 226.6575
  -2.523   0.3390   0.01301   0.00317  -0.0099   0.1283   0.5148 115.4234 226.7784
  -2.437   0.3485   0.01304   0.00317  -0.0098   0.1269   0.5161 115.6152 226.8999
  -2.352   0.3579   0.01308   0.00316  -0.0098   0.1257   0.5172 115.7872 227.0132
  -2.266   0.3671   0.01313   0.00316  -0.0097   0.1245   0.5182 115.9493 227.1056
  -2.181   0.3764   0.01316   0.00321  -0.0096   0.1232   0.5192 116.1470 227.2005
  -2.095   0.3859   0.01319   0.00325  -0.0096   0.1216   0.5202 116.3661 227.3023
  -2.010   0.3953   0.01321   0.00326  -0.0095   0.1202   0.5213 116.5701 227.4091
  -1.925   0.4047   0.01325   0.00326  -0.0095   0.1189   0.5225 116.7535 227.5251
  -1.839   0.4139   0.01331   0.00326  -0.0094   0.1178   0.5237 116.9233 227.6458
  -1.754   0.4233   0.01337   0.00329  -0.0093   0.1164   0.5250 117.1207 227.7715
  -1.668   0.4328   0.01341   0.00332  -0.0093   0.1149   0.5264 117.3474 227.9025
  -1.583   0.4423   0.01344   0.00334  -0.0093   0.1134   0.5276 117.5612 228.0227
  -1.498   0.4516   0.01346   0.00334  -0.0092   0.1121   0.5287 117.7525 228.1244
  -1.412   0.4607   0.01352   0.00334  -0.0091   0.1109   0.5297 117.9304 228.2291
  -1.327   0.4700   0.01358   0.00339  -0.0091   0.1095   0.5309 118.1399 228.3416
  -1.241   0.4795   0.01361   0.00343  -0.0090   0.1080   0.5321 118.3747 228.4630
  -1.156   0.4889   0.01365   0.00344  -0.0090   0.1065   0.5334 118.5940 228.5896
  -1.070   0.4982   0.01369   0.00344  -0.0090   0.1053   0.5348 118.7908 228.7213
  -0.985   0.5073   0.01378   0.00344  -0.0089   0.1040   0.5361 118.9784 228.8545
  -0.899   0.5168   0.01383   0.00349  -0.0089   0.1025   0.5375 119.2124 228.9905
  -0.814   0.5262   0.01386   0.00353  -0.0088   0.1010   0.5387 119.4525 229.1002
  -0.729   0.5355   0.01389   0.00354  -0.0088   0.0996   0.5398 119.6713 229.2147
  -0.643   0.5447   0.01395   0.00355  -0.0088   0.0983   0.5411 119.8668 229.3386
  -0.558   0.5538   0.01404   0.00358  -0.0087   0.0970   0.5425 120.0744 229.4697
  -0.472   0.5632   0.01408   0.00363  -0.0087   0.0954   0.5439 120.3260 229.6118
  -0.387   0.5726   0.01413   0.00366  -0.0086   0.0940   0.5454 120.5649 229.7594
  -0.301   0.5819   0.01419   0.00367  -0.0086   0.0926   0.5470 120.7779 229.9092
  -0.216   0.5909   0.01429   0.00367  -0.0086   0.0914   0.5483 120.9776 230.0405
  -0.131   0.6003   0.01433   0.00374  -0.0085   0.0899   0.5495 121.2230 230.1582
  -0.045   0.6097   0.01438   0.00379  -0.0085   0.0884   0.5508 121.4778 230.2875
   0.040   0.6189   0.01443   0.00381  -0.0085   0.0870   0.5523 121.7064 230.4272
   0.126   0.6280   0.01452   0.00382  -0.0084   0.0857   0.5538 121.9120 230.5766
   0.211   0.6372   0.01461   0.00388  -0.0084   0.0844   0.5554 122.1461 230.7363
   0.296   0.6466   0.01467   0.00393  -0.0084   0.0828   0.5572 122.4100 230.9058
   0.382   0.6559   0.01473   0.00396  -0.0084   0.0814   0.5587 122.6525 231.0540
   0.467   0.6649   0.01481   0.00398  -0.0083   0.0801   0.5600 122.8680 231.1887
   0.553   0.6740   0.01492   0.00404  -0.0083   0.0788   0.5615 123.0950 231.3324
   0.638   0.6834   0.01498   0.00411  -0.0082   0.0773   0.5631 123.3604 231.4926
   0.724   0.6926   0.01505   0.00415  -0.0082   0.0759   0.5649 123.6102 231.6637
   0.809   0.7017   0.01514   0.00417  -0.0082   0.0747   0.5667 123.8327 231.8419
   0.894   0.7107   0.01528   0.00422  -0.0082   0.0734   0.5685 124.0549 232.0158
   0.980   0.7200   0.01534   0.00430  -0.0081   0.0720   0.5700 124.3187 232.1618
   1.065   0.7292   0.01541   0.00436  -0.0081   0.0706   0.5716 124.5706 232.3231
   1.151   0.7383   0.01551   0.00440  -0.0081   0.0694   0.5734 124.7936 232.5010
   1.236   0.7470   0.01567   0.00445  -0.0080   0.0682   0.5753 125.0060 232.6901
   1.322   0.7564   0.01575   0.00455  -0.0080   0.0669   0.5775 125.2625 232.8986
   1.407   0.7656   0.01584   0.00461  -0.0080   0.0656   0.5793 125.5189 233.0785
   1.492   0.7747   0.01593   0.00467  -0.0080   0.0644   0.5810 125.7472 233.2500
   1.578   0.7834   0.01608   0.00473  -0.0079   0.0632   0.5829 125.9583 233.4340
   1.663   0.7925   0.01619   0.00483  -0.0079   0.0620   0.5850 126.1992 233.6385
   1.749   0.8017   0.01630   0.00491  -0.0079   0.0607   0.5873 126.4504 233.8641
   1.834   0.8108   0.01641   0.00498  -0.0079   0.0596   0.5893 126.6769 234.0678
   1.920   0.8195   0.01654   0.00505  -0.0078   0.0586   0.5912 126.8796 234.2561
   2.005   0.8283   0.01671   0.00515  -0.0078   0.0575   0.5934 127.0932 234.4687
   2.091   0.8375   0.01682   0.00526  -0.0078   0.0563   0.5958 127.3368 234.7111
   2.176   0.8465   0.01694   0.00534  -0.0078   0.0552   0.5985 127.5691 234.9735
   2.261   0.8554   0.01707   0.00542  -0.0077   0.0542   0.6006 127.7749 235.1776
   2.347   0.8637   0.01726   0.00551  -0.0076   0.0533   0.6029 127.9699 235.4059
   2.432   0.8727   0.01740   0.00564  -0.0076   0.0523   0.6055 128.1863 235.6654
   2.518   0.8818   0.01754   0.00575  -0.0076   0.0512   0.6084 128.4112 235.9511
   2.603   0.8906   0.01767   0.00586  -0.0076   0.0503   0.6107 128.6153 236.1845
   2.688   0.8992   0.01782   0.00595  -0.0075   0.0494   0.6133 128.7956 236.4429
   2.774   0.9074   0.01806   0.00607  -0.0074   0.0486   0.6161 128.9712 236.7246
   2.859   0.9162   0.01822   0.00622  -0.0074   0.0478   0.6192 129.1626 237.0303
   2.945   0.9251   0.01837   0.00636  -0.0073   0.0468   0.6218 129.3676 237.2930
   3.030   0.9338   0.01852   0.00648  -0.0073   0.0460   0.6249 129.5626 237.5999
   3.116   0.9425   0.01868   0.00658  -0.0072   0.0452   0.6282 129.7381 237.9357
   3.201   0.9506   0.01889   0.00670  -0.0071   0.0445   0.6310 129.9024 238.2194
   3.286   0.9587   0.01913   0.00687  -0.0070   0.0437   0.6341 130.0733 238.5301
   3.372   0.9675   0.01930   0.00703  -0.0070   0.0429   0.6377 130.2601 238.8919
   3.457   0.9761   0.01947   0.00718  -0.0069   0.0421   0.6408 130.4444 239.2024
   3.543   0.9846   0.01965   0.00731  -0.0069   0.0414   0.6441 130.6129 239.5402
   3.628   0.9930   0.01984   0.00743  -0.0068   0.0408   0.6478 130.7623 239.9118
   3.714   1.0007   0.02009   0.00758  -0.0066   0.0402   0.6507 130.9020 240.2111
   3.799   1.0083   0.02038   0.00777  -0.0065   0.0396   0.6538 131.0445 240.5253
   3.884   1.0169   0.02057   0.00797  -0.0064   0.0390   0.6574 131.1961 240.8903
   3.970   1.0252   0.02078   0.00814  -0.0063   0.0384   0.6618 131.3555 241.3379
   4.055   1.0336   0.02101   0.00830  -0.0063   0.0377   0.6671 131.5098 241.8925
   4.141   1.0417   0.02119   0.00844  -0.0062   0.0372   0.6704 131.6509 242.2330
   4.226   1.0496   0.02139   0.00858  -0.0061   0.0367   0.6738 131.7801 242.5784
   4.312   1.0569   0.02166   0.00874  -0.0059   0.0362   0.6776 131.9056 242.9646
