  
       XFOIL         Version 6.99
  
 Calculated polar for: Repaneled_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -3.804  -0.9428   0.02595   0.00924   0.0463   0.2225   0.0041 104.5444 157.7747
  -3.719  -0.9369   0.02577   0.00915   0.0467   0.2219   0.0042 104.6222 157.8295
  -3.633  -0.9309   0.02558   0.00906   0.0471   0.2212   0.0043 104.6985 157.9015
  -3.548  -0.9248   0.02541   0.00897   0.0475   0.2206   0.0044 104.7746 157.9652
  -3.462  -0.9189   0.02522   0.00888   0.0479   0.2199   0.0045 104.8509 158.0382
  -3.377  -0.9133   0.02503   0.00877   0.0483   0.2192   0.0046 104.9301 158.1499
  -3.292  -0.9077   0.02483   0.00867   0.0488   0.2186   0.0048 105.0064 158.2818
  -3.206  -0.9022   0.02462   0.00856   0.0492   0.2182   0.0051 105.0511 158.4474
  -3.121  -0.8967   0.02441   0.00845   0.0497   0.2178   0.0054 105.1001 158.6434
  -3.035  -0.8912   0.02420   0.00834   0.0502   0.2173   0.0057 105.1528 158.8293
  -2.950  -0.8860   0.02397   0.00822   0.0507   0.2169   0.0061 105.2070 159.1148
  -2.864  -0.8823   0.02366   0.00804   0.0514   0.2165   0.0084 105.2570 160.3878
  -2.779  -0.8764   0.02348   0.00795   0.0518   0.2160   0.0089 105.3160 160.6406
  -2.693  -0.8703   0.02331   0.00787   0.0522   0.2155   0.0092 105.3753 160.8129
  -2.608  -0.8641   0.02314   0.00779   0.0526   0.2150   0.0095 105.4344 160.9421
  -2.523  -0.8582   0.02296   0.00770   0.0530   0.2145   0.0098 105.4915 161.0723
  -2.437  -0.8525   0.02277   0.00760   0.0535   0.2140   0.0102 105.5470 161.2552
  -2.352  -0.8468   0.02258   0.00750   0.0539   0.2136   0.0106 105.6010 161.4584
  -2.266  -0.8410   0.02239   0.00741   0.0544   0.2131   0.0111 105.6542 161.6731
  -2.181  -0.8351   0.02221   0.00732   0.0548   0.2127   0.0116 105.7067 161.8948
  -2.095  -0.8294   0.02202   0.00722   0.0552   0.2122   0.0121 105.7588 162.1418
  -2.010  -0.8238   0.02183   0.00712   0.0557   0.2118   0.0128 105.8115 162.4512
  -1.925  -0.8180   0.02165   0.00702   0.0562   0.2113   0.0136 105.8669 162.7750
  -1.839  -0.8122   0.02148   0.00693   0.0566   0.2108   0.0144 105.9264 163.1024
  -1.754  -0.8062   0.02133   0.00684   0.0570   0.2103   0.0154 105.9941 163.4582
  -1.668  -0.7999   0.02117   0.00677   0.0574   0.2100   0.0161 106.0303 163.7535
  -1.583  -0.7935   0.02101   0.00670   0.0578   0.2096   0.0167 106.0686 163.9715
  -1.498  -0.7875   0.02083   0.00661   0.0582   0.2093   0.0173 106.1102 164.1937
  -1.412  -0.7815   0.02066   0.00653   0.0586   0.2089   0.0180 106.1560 164.4520
  -1.327  -0.7753   0.02050   0.00645   0.0591   0.2085   0.0188 106.2049 164.7153
  -1.241  -0.7690   0.02034   0.00638   0.0595   0.2081   0.0195 106.2557 164.9591
  -1.156  -0.7629   0.02017   0.00630   0.0599   0.2077   0.0202 106.3065 165.2154
  -1.070  -0.7567   0.02001   0.00622   0.0603   0.2072   0.0211 106.3570 165.4964
  -0.985  -0.7503   0.01986   0.00615   0.0607   0.2068   0.0219 106.4067 165.7712
  -0.814  -0.7375   0.01956   0.00602   0.0614   0.2061   0.0235 106.4998 166.2652
  -0.729  -0.7310   0.01942   0.00596   0.0618   0.2057   0.0243 106.5448 166.5324
  -0.643  -0.7244   0.01929   0.00589   0.0622   0.2053   0.0252 106.5892 166.7803
  -0.558  -0.7176   0.01916   0.00583   0.0625   0.2050   0.0258 106.6328 166.9831
  -0.472  -0.7113   0.01901   0.00576   0.0629   0.2046   0.0265 106.6744 167.1890
  -0.387  -0.7048   0.01887   0.00570   0.0633   0.2043   0.0273 106.7157 167.4045
  -0.301  -0.6982   0.01874   0.00563   0.0636   0.2039   0.0280 106.7568 167.6192
  -0.216  -0.6915   0.01861   0.00557   0.0640   0.2036   0.0287 106.7981 167.8248
  -0.045  -0.6782   0.01836   0.00544   0.0647   0.2029   0.0301 106.8843 168.2018
   0.040  -0.6716   0.01824   0.00539   0.0651   0.2025   0.0308 106.9327 168.4037
   0.126  -0.6648   0.01814   0.00533   0.0654   0.2020   0.0316 106.9882 168.6092
   0.211  -0.6579   0.01802   0.00527   0.0658   0.2018   0.0323 107.0188 168.8089
   0.296  -0.6510   0.01790   0.00521   0.0661   0.2016   0.0329 107.0447 168.9859
   0.382  -0.6445   0.01776   0.00515   0.0665   0.2013   0.0336 107.0727 169.1654
   0.467  -0.6377   0.01763   0.00511   0.0669   0.2011   0.0346 107.1034 169.4100
   0.553  -0.6304   0.01753   0.00507   0.0671   0.2008   0.0361 107.1377 169.7980
   0.638  -0.6232   0.01742   0.00504   0.0674   0.2005   0.0377 107.1735 170.2030
   0.724  -0.6154   0.01735   0.00504   0.0676   0.2002   0.0396 107.2124 170.6623
   0.809  -0.6073   0.01730   0.00503   0.0678   0.1999   0.0413 107.2530 171.0876
   0.894  -0.5996   0.01722   0.00504   0.0680   0.1995   0.0429 107.2936 171.4593
   0.980  -0.5915   0.01717   0.00504   0.0682   0.1992   0.0443 107.3357 171.7865
   1.065  -0.5839   0.01709   0.00500   0.0684   0.1989   0.0452 107.3765 171.9862
   1.151  -0.5784   0.01691   0.00491   0.0690   0.1986   0.0459 107.4125 172.1546
   1.236  -0.5724   0.01677   0.00486   0.0695   0.1983   0.0466 107.4497 172.3080
   1.322  -0.5662   0.01666   0.00481   0.0700   0.1980   0.0473 107.4868 172.4621
   1.407  -0.5603   0.01655   0.00476   0.0705   0.1977   0.0480 107.5228 172.6266
   1.492  -0.5545   0.01644   0.00471   0.0711   0.1974   0.0488 107.5581 172.7971
   1.578  -0.5487   0.01635   0.00466   0.0717   0.1971   0.0495 107.5929 172.9543
   1.663  -0.5443   0.01621   0.00459   0.0725   0.1968   0.0502 107.6241 173.1139
   1.749  -0.5388   0.01608   0.00454   0.0731   0.1966   0.0510 107.6568 173.2833
   1.834  -0.5317   0.01597   0.00449   0.0734   0.1963   0.0519 107.6917 173.4682
   1.920  -0.5244   0.01587   0.00444   0.0736   0.1960   0.0528 107.7263 173.6709
   2.005  -0.5169   0.01578   0.00439   0.0738   0.1957   0.0538 107.7609 173.8771
   2.091  -0.5095   0.01567   0.00433   0.0741   0.1954   0.0547 107.7957 174.0696
   2.176  -0.5024   0.01554   0.00427   0.0743   0.1951   0.0557 107.8324 174.2705
   2.261  -0.4946   0.01545   0.00423   0.0745   0.1948   0.0567 107.8736 174.4732
   2.347  -0.4866   0.01538   0.00418   0.0746   0.1944   0.0578 107.9204 174.6920
   2.432  -0.4784   0.01533   0.00413   0.0747   0.1940   0.0588 107.9787 174.9066
   2.518  -0.4705   0.01522   0.00407   0.0748   0.1936   0.0598 108.0178 175.1091
   2.603  -0.4625   0.01509   0.00403   0.0749   0.1934   0.0609 108.0468 175.3151
   2.688  -0.4541   0.01499   0.00399   0.0750   0.1931   0.0619 108.0798 175.5306
   2.774  -0.4456   0.01490   0.00394   0.0750   0.1929   0.0631 108.1157 175.7633
   2.859  -0.4369   0.01482   0.00390   0.0750   0.1925   0.0642 108.1532 175.9801
   2.945  -0.4285   0.01469   0.00385   0.0750   0.1923   0.0655 108.1906 176.2151
   3.030  -0.4198   0.01460   0.00382   0.0750   0.1919   0.0667 108.2292 176.4506
   3.116  -0.4109   0.01452   0.00379   0.0750   0.1916   0.0681 108.2698 176.7104
   3.201  -0.4018   0.01445   0.00375   0.0750   0.1913   0.0694 108.3121 176.9710
   3.286  -0.3930   0.01434   0.00371   0.0749   0.1909   0.0709 108.3536 177.2398
   3.372  -0.3839   0.01427   0.00368   0.0748   0.1906   0.0724 108.3938 177.5121
   3.457  -0.3747   0.01420   0.00365   0.0748   0.1903   0.0739 108.4322 177.8022
   3.543  -0.3654   0.01413   0.00361   0.0747   0.1900   0.0754 108.4700 178.0647
   3.628  -0.3563   0.01403   0.00358   0.0746   0.1897   0.0769 108.5068 178.3337
   3.714  -0.3469   0.01397   0.00355   0.0745   0.1894   0.0784 108.5432 178.6098
   3.799  -0.3375   0.01391   0.00351   0.0744   0.1891   0.0800 108.5789 178.8884
   3.884  -0.3282   0.01383   0.00347   0.0743   0.1889   0.0815 108.6135 179.1532
   3.970  -0.3188   0.01375   0.00345   0.0742   0.1886   0.0831 108.6473 179.4250
   4.055  -0.3093   0.01370   0.00342   0.0741   0.1883   0.0848 108.6805 179.7183
   4.141  -0.2998   0.01366   0.00339   0.0740   0.1881   0.0864 108.7129 179.9981
   4.226  -0.2904   0.01358   0.00336   0.0739   0.1878   0.0882 108.7445 180.2961
   4.312  -0.2810   0.01353   0.00334   0.0738   0.1876   0.0901 108.7760 180.6063
   4.397  -0.2715   0.01350   0.00332   0.0737   0.1873   0.0920 108.8074 180.9308
   4.482  -0.2621   0.01344   0.00330   0.0736   0.1871   0.0941 108.8391 181.2694
   4.568  -0.2526   0.01341   0.00329   0.0735   0.1868   0.0963 108.8720 181.6399
   4.739  -0.2336   0.01337   0.00326   0.0734   0.1862   0.1012 108.9472 182.4260
   4.824  -0.2241   0.01340   0.00326   0.0733   0.1858   0.1041 108.9965 182.8803
   4.910  -0.2146   0.01334   0.00325   0.0732   0.1856   0.1071 109.0182 183.3483
   4.995  -0.2050   0.01328   0.00324   0.0731   0.1855   0.1105 109.0397 183.8825
   5.080  -0.1955   0.01321   0.00322   0.0730   0.1853   0.1148 109.0634 184.5258
   5.166  -0.1860   0.01313   0.00320   0.0729   0.1851   0.1224 109.0892 185.6585
   5.251  -0.1782   0.01226   0.00289   0.0720   0.1849   0.2786 109.1134 204.8564
   5.337  -0.1672   0.00934   0.00181   0.0683   0.1846   0.6428 109.1432 240.5902
   5.422  -0.1570   0.00933   0.00190   0.0682   0.1844   0.6602 109.1774 242.3083
   5.508  -0.1468   0.00936   0.00197   0.0681   0.1841   0.6696 109.2143 243.2482
   5.593  -0.1366   0.00941   0.00203   0.0680   0.1838   0.6768 109.2535 243.9684
   5.678  -0.1266   0.00946   0.00213   0.0679   0.1835   0.6813 109.2940 244.4209
   5.764  -0.1164   0.00952   0.00219   0.0678   0.1831   0.6856 109.3349 244.8518
   5.849  -0.1063   0.00957   0.00226   0.0677   0.1828   0.6886 109.3746 245.1577
   5.935  -0.0963   0.00964   0.00234   0.0677   0.1825   0.6912 109.4125 245.4178
   6.020  -0.0862   0.00970   0.00241   0.0676   0.1822   0.6937 109.4478 245.6683
   6.106  -0.0759   0.00977   0.00245   0.0675   0.1820   0.6960 109.4821 245.9029
   6.191  -0.0659   0.00982   0.00251   0.0674   0.1817   0.6978 109.5155 246.0916
   6.276  -0.0560   0.00989   0.00259   0.0674   0.1815   0.6992 109.5479 246.2345
   6.362  -0.0460   0.00995   0.00266   0.0674   0.1812   0.7005 109.5798 246.3618
   6.447  -0.0360   0.01001   0.00271   0.0673   0.1810   0.7017 109.6109 246.4830
   6.533  -0.0260   0.01006   0.00276   0.0672   0.1807   0.7029 109.6414 246.6050
   6.618  -0.0159   0.01012   0.00280   0.0672   0.1805   0.7041 109.6712 246.7333
   6.704  -0.0057   0.01018   0.00284   0.0671   0.1803   0.7054 109.7004 246.8666
   6.789   0.0045   0.01024   0.00286   0.0669   0.1800   0.7067 109.7292 246.9959
   6.874   0.0143   0.01029   0.00293   0.0669   0.1798   0.7077 109.7571 247.0987
   6.960   0.0242   0.01035   0.00299   0.0669   0.1796   0.7085 109.7860 247.1873
   7.045   0.0340   0.01041   0.00305   0.0669   0.1793   0.7093 109.8165 247.2649
   7.131   0.0439   0.01047   0.00309   0.0669   0.1791   0.7100 109.8487 247.3382
   7.216   0.0538   0.01055   0.00314   0.0668   0.1788   0.7108 109.8833 247.4166
   7.301   0.0637   0.01063   0.00319   0.0668   0.1785   0.7116 109.9220 247.4992
   7.387   0.0736   0.01075   0.00324   0.0667   0.1781   0.7124 109.9691 247.5824
   7.472   0.0836   0.01085   0.00330   0.0666   0.1778   0.7132 110.0115 247.6656
   7.558   0.0937   0.01089   0.00335   0.0666   0.1776   0.7141 110.0366 247.7582
   7.643   0.1038   0.01094   0.00339   0.0665   0.1774   0.7150 110.0641 247.8524
   7.729   0.1139   0.01099   0.00343   0.0663   0.1772   0.7158 110.0930 247.9410
   7.814   0.1240   0.01104   0.00347   0.0663   0.1769   0.7166 110.1224 248.0174
   7.899   0.1338   0.01108   0.00354   0.0662   0.1767   0.7172 110.1530 248.0770
   7.985   0.1436   0.01113   0.00360   0.0662   0.1765   0.7176 110.1850 248.1280
   8.070   0.1534   0.01118   0.00366   0.0662   0.1762   0.7181 110.2183 248.1738
   8.156   0.1632   0.01123   0.00373   0.0662   0.1759   0.7186 110.2533 248.2227
   8.241   0.1731   0.01130   0.00379   0.0662   0.1756   0.7191 110.2905 248.2796
   8.327   0.1829   0.01136   0.00386   0.0662   0.1753   0.7197 110.3291 248.3456
   8.412   0.1927   0.01143   0.00392   0.0662   0.1750   0.7204 110.3682 248.4146
   8.498   0.2026   0.01149   0.00398   0.0661   0.1748   0.7210 110.4062 248.4809
   8.583   0.2125   0.01154   0.00402   0.0661   0.1745   0.7217 110.4419 248.5457
   8.668   0.2224   0.01160   0.00406   0.0660   0.1742   0.7223 110.4766 248.6097
   8.754   0.2324   0.01165   0.00410   0.0660   0.1739   0.7229 110.5109 248.6717
   8.839   0.2424   0.01169   0.00412   0.0659   0.1737   0.7234 110.5445 248.7314
   8.925   0.2524   0.01173   0.00414   0.0658   0.1734   0.7239 110.5773 248.7838
   9.010   0.2624   0.01176   0.00415   0.0657   0.1732   0.7243 110.6094 248.8240
   9.095   0.2724   0.01179   0.00415   0.0656   0.1729   0.7246 110.6408 248.8558
   9.181   0.2824   0.01182   0.00415   0.0655   0.1727   0.7249 110.6716 248.8868
   9.266   0.2924   0.01185   0.00415   0.0654   0.1725   0.7252 110.7018 248.9164
   9.352   0.3025   0.01188   0.00415   0.0653   0.1722   0.7255 110.7316 248.9449
   9.437   0.3125   0.01191   0.00414   0.0652   0.1720   0.7258 110.7610 248.9721
   9.523   0.3225   0.01195   0.00414   0.0651   0.1718   0.7260 110.7904 248.9980
   9.608   0.3324   0.01197   0.00415   0.0651   0.1715   0.7263 110.8208 249.0252
   9.694   0.3422   0.01200   0.00416   0.0650   0.1713   0.7265 110.8533 249.0511
   9.779   0.3520   0.01205   0.00417   0.0650   0.1710   0.7267 110.8902 249.0762
   9.864   0.3617   0.01212   0.00419   0.0649   0.1706   0.7270 110.9359 249.1011
   9.950   0.3713   0.01227   0.00425   0.0649   0.1701   0.7272 111.0015 249.1256
  10.035   0.3812   0.01228   0.00428   0.0648   0.1699   0.7274 111.0317 249.1502
  10.121   0.3910   0.01229   0.00431   0.0648   0.1696   0.7277 111.0662 249.1750
  10.206   0.4008   0.01231   0.00434   0.0647   0.1693   0.7279 111.1051 249.1995
  10.291   0.4107   0.01234   0.00438   0.0647   0.1690   0.7282 111.1452 249.2245
  10.377   0.4205   0.01238   0.00441   0.0647   0.1687   0.7284 111.1878 249.2497
  10.462   0.4304   0.01238   0.00442   0.0646   0.1682   0.7286 111.2518 249.2750
  10.548   0.4403   0.01233   0.00437   0.0646   0.1675   0.7289 111.3471 249.3004
  10.633   0.4504   0.01222   0.00426   0.0645   0.1666   0.7291 111.4660 249.3260
  10.719   0.4606   0.01208   0.00409   0.0644   0.1656   0.7294 111.5963 249.3520
  10.804   0.4709   0.01193   0.00390   0.0643   0.1646   0.7296 111.7286 249.3780
  10.889   0.4811   0.01182   0.00372   0.0642   0.1636   0.7299 111.8649 249.4041
  10.975   0.4910   0.01182   0.00362   0.0642   0.1624   0.7301 112.0217 249.4300
  11.060   0.5013   0.01172   0.00355   0.0640   0.1614   0.7304 112.1536 249.4563
  11.146   0.5115   0.01166   0.00349   0.0639   0.1604   0.7306 112.2911 249.4833
  11.231   0.5217   0.01162   0.00344   0.0638   0.1595   0.7309 112.4089 249.5107
  11.317   0.5318   0.01158   0.00337   0.0637   0.1585   0.7311 112.5346 249.5386
  11.402   0.5420   0.01153   0.00329   0.0636   0.1576   0.7314 112.6634 249.5671
  11.487   0.5522   0.01149   0.00320   0.0635   0.1566   0.7317 112.7903 249.5960
  11.573   0.5623   0.01147   0.00312   0.0634   0.1557   0.7320 112.9170 249.6253
  11.658   0.5723   0.01148   0.00308   0.0633   0.1548   0.7323 113.0400 249.6552
  11.744   0.5824   0.01147   0.00306   0.0632   0.1539   0.7325 113.1637 249.6852
  11.829   0.5925   0.01147   0.00303   0.0631   0.1529   0.7328 113.2969 249.7156
  11.915   0.6025   0.01147   0.00300   0.0630   0.1519   0.7331 113.4293 249.7463
  12.000   0.6126   0.01147   0.00296   0.0629   0.1510   0.7334 113.5595 249.7770
